"Date","IBM_Volume","IBM_AdjClose","Apple_Volume","Apple_AdjClose","MSFT_Volume","MSFT_AdjClose","Intel_Volume","Intel_AdjClose","SnP500","UST_Mo_1","UST_Mo_3","UST_Mo_6","UST_Yr_1","UST_Yr_2","UST_Yr_3","UST_Yr_5","UST_Yr_7","UST_Yr_10","UST_Yr_20","UST_Yr_30"
"2015-01-02","5525500","156.935251","53204600","106.918237","27913900","45.520756","23605600","34.989963",2058.199951,0.02,0.02,0.11,0.25,0.66,1.07,1.61,1.92,2.12,2.41,2.69
"2015-01-05","4880400","154.465885","64285500","103.906178","39673900","45.102155","32785000","34.595412",2020.579956,0.02,0.03,0.1,0.26,0.68,1.06,1.57,1.85,2.04,2.32,2.6
"2015-01-06","6146700","151.134679","65797100","103.91596","36447900","44.440176","30847600","33.950656",2002.609985,0.02,0.03,0.1,0.25,0.65,1.02,1.5,1.78,1.97,2.25,2.52
"2015-01-07","4701800","150.14693","40105900","105.373089","29114100","45.004803","27725200","34.662774",2025.900024,0.02,0.03,0.09,0.25,0.62,1,1.47,1.76,1.96,2.25,2.52
"2015-01-08","4236800","153.410357","59364500","109.421762","29645200","46.328761","31765400","35.307527",2062.139893,0.01,0.03,0.08,0.23,0.62,1,1.5,1.81,2.03,2.33,2.59
"2015-01-09","4484800","154.07854","53699500","109.539117","23942800","45.93936","22846000","35.374889",2044.810059,0.02,0.02,0.08,0.22,0.59,0.96,1.45,1.75,1.98,2.29,2.55
"2015-01-12","4182800","151.492974","49650800","106.84","23651900","45.364996","29400800","35.220918",2028.26001,0.02,0.03,0.09,0.19,0.56,0.91,1.39,1.69,1.92,2.23,2.49
"2015-01-13","4377500","151.851269","67091900","107.788603","35270600","45.131359","31478000","35.124688",2023.030029,0.02,0.03,0.08,0.2,0.54,0.88,1.37,1.67,1.91,2.24,2.49
"2015-01-14","4690300","150.873213","48337000","107.37787","29719600","44.741958","34250300","34.980338",2011.27002,0.02,0.04,0.09,0.18,0.51,0.83,1.33,1.62,1.86,2.2,2.47
"2015-01-15","4248400","149.682113","60014000","104.463604","32742300","44.27468","47181800","34.826367",1992.670044,0.03,0.03,0.08,0.16,0.44,0.75,1.22,1.53,1.77,2.12,2.4
"2015-01-16","5756000","152.170835","78513300","103.651911","35695300","45.01454","62812200","35.076572",2019.420044,0.02,0.03,0.07,0.17,0.49,0.8,1.29,1.6,1.83,2.17,2.44
"2015-01-20","8392800","151.986841","49899900","106.321692","36161900","45.160563","35929400","34.730136",2022.550049,0.01,0.03,0.08,0.17,0.53,0.85,1.31,1.61,1.82,2.15,2.39
"2015-01-21","11897100","147.280526","48575900","107.133385","39081100","44.703018","27442600","35.105441",2032.119995,0.01,0.03,0.08,0.17,0.53,0.87,1.35,1.66,1.87,2.2,2.44
